,job_title,skills_required,posting_date,month
21,nlp engineer,python,2023-09-27,2023-09
21,nlp engineer,fastapi,2023-09-27,2023-09
22,ai product manager,tensorflow,2023-09-27,2023-09
22,ai product manager,keras,2023-09-27,2023-09
22,ai product manager,pytorch,2023-09-27,2023-09
22,ai product manager,aws,2023-09-27,2023-09
22,ai product manager,scikit-learn,2023-09-27,2023-09
23,computer vision engineer,fastapi,2023-09-28,2023-09
23,computer vision engineer,numpy,2023-09-28,2023-09
23,computer vision engineer,excel,2023-09-28,2023-09
23,computer vision engineer,flask,2023-09-28,2023-09
24,quant researcher,fastapi,2023-09-28,2023-09
24,quant researcher,tensorflow,2023-09-28,2023-09
24,quant researcher,hugging face,2023-09-28,2023-09
24,quant researcher,sql,2023-09-28,2023-09
24,quant researcher,azure,2023-09-28,2023-09
24,quant researcher,reinforcement learning,2023-09-28,2023-09
25,data scientist,r,2023-09-29,2023-09
25,data scientist,fastapi,2023-09-29,2023-09
25,data scientist,aws,2023-09-29,2023-09
26,ai researcher,langchain,2023-09-29,2023-09
26,ai researcher,hugging face,2023-09-29,2023-09
26,ai researcher,scikit-learn,2023-09-29,2023-09
26,ai researcher,flask,2023-09-29,2023-09
26,ai researcher,reinforcement learning,2023-09-29,2023-09
26,ai researcher,excel,2023-09-29,2023-09
27,ai product manager,mlflow,2023-09-29,2023-09
27,ai product manager,tensorflow,2023-09-29,2023-09
27,ai product manager,power bi,2023-09-29,2023-09
27,ai product manager,cuda,2023-09-29,2023-09
27,ai product manager,numpy,2023-09-29,2023-09
27,ai product manager,pytorch,2023-09-29,2023-09
28,data scientist,excel,2023-09-30,2023-09
28,data scientist,azure,2023-09-30,2023-09
28,data scientist,fastapi,2023-09-30,2023-09
28,data scientist,langchain,2023-09-30,2023-09
28,data scientist,gcp,2023-09-30,2023-09
29,data analyst,power bi,2023-09-30,2023-09
29,data analyst,numpy,2023-09-30,2023-09
29,data analyst,langchain,2023-09-30,2023-09
29,data analyst,cuda,2023-09-30,2023-09
29,data analyst,reinforcement learning,2023-09-30,2023-09
29,data analyst,excel,2023-09-30,2023-09
30,computer vision engineer,aws,2023-10-01,2023-10
30,computer vision engineer,gcp,2023-10-01,2023-10
30,computer vision engineer,cuda,2023-10-01,2023-10
30,computer vision engineer,mlflow,2023-10-01,2023-10
31,quant researcher,azure,2023-10-01,2023-10
31,quant researcher,c++,2023-10-01,2023-10
31,quant researcher,reinforcement learning,2023-10-01,2023-10
32,ai researcher,python,2023-10-01,2023-10
32,ai researcher,keras,2023-10-01,2023-10
32,ai researcher,aws,2023-10-01,2023-10
32,ai researcher,cuda,2023-10-01,2023-10
32,ai researcher,numpy,2023-10-01,2023-10
32,ai researcher,r,2023-10-01,2023-10
33,data analyst,power bi,2023-10-02,2023-10
33,data analyst,gcp,2023-10-02,2023-10
33,data analyst,hugging face,2023-10-02,2023-10
34,ai product manager,fastapi,2023-10-02,2023-10
34,ai product manager,cuda,2023-10-02,2023-10
34,ai product manager,c++,2023-10-02,2023-10
34,ai product manager,pytorch,2023-10-02,2023-10
35,nlp engineer,gcp,2023-10-03,2023-10
35,nlp engineer,pandas,2023-10-03,2023-10
35,nlp engineer,r,2023-10-03,2023-10
35,nlp engineer,excel,2023-10-03,2023-10
35,nlp engineer,azure,2023-10-03,2023-10
35,nlp engineer,pytorch,2023-10-03,2023-10
36,ai researcher,sql,2023-10-03,2023-10
36,ai researcher,pandas,2023-10-03,2023-10
36,ai researcher,excel,2023-10-03,2023-10
37,computer vision engineer,keras,2023-10-03,2023-10
37,computer vision engineer,gcp,2023-10-03,2023-10
37,computer vision engineer,sql,2023-10-03,2023-10
38,computer vision engineer,numpy,2023-10-03,2023-10
38,computer vision engineer,r,2023-10-03,2023-10
38,computer vision engineer,cuda,2023-10-03,2023-10
38,computer vision engineer,mlflow,2023-10-03,2023-10
38,computer vision engineer,azure,2023-10-03,2023-10
38,computer vision engineer,pytorch,2023-10-03,2023-10
39,quant researcher,pandas,2023-10-03,2023-10
39,quant researcher,excel,2023-10-03,2023-10
39,quant researcher,flask,2023-10-03,2023-10
39,quant researcher,langchain,2023-10-03,2023-10
39,quant researcher,scikit-learn,2023-10-03,2023-10
39,quant researcher,tensorflow,2023-10-03,2023-10
40,nlp engineer,scikit-learn,2023-10-03,2023-10
40,nlp engineer,mlflow,2023-10-03,2023-10
40,nlp engineer,aws,2023-10-03,2023-10
41,ml engineer,keras,2023-10-03,2023-10
41,ml engineer,c++,2023-10-03,2023-10
41,ml engineer,langchain,2023-10-03,2023-10
41,ml engineer,aws,2023-10-03,2023-10
41,ml engineer,python,2023-10-03,2023-10
41,ml engineer,gcp,2023-10-03,2023-10
42,data scientist,r,2023-10-03,2023-10
42,data scientist,cuda,2023-10-03,2023-10
42,data scientist,c++,2023-10-03,2023-10
42,data scientist,excel,2023-10-03,2023-10
43,data scientist,pandas,2023-10-03,2023-10
43,data scientist,fastapi,2023-10-03,2023-10
43,data scientist,azure,2023-10-03,2023-10
43,data scientist,flask,2023-10-03,2023-10
43,data scientist,python,2023-10-03,2023-10
43,data scientist,sql,2023-10-03,2023-10
44,ai researcher,aws,2023-10-03,2023-10
44,ai researcher,numpy,2023-10-03,2023-10
44,ai researcher,langchain,2023-10-03,2023-10
44,ai researcher,scikit-learn,2023-10-03,2023-10
44,ai researcher,fastapi,2023-10-03,2023-10
45,computer vision engineer,cuda,2023-10-04,2023-10
45,computer vision engineer,c++,2023-10-04,2023-10
45,computer vision engineer,power bi,2023-10-04,2023-10
45,computer vision engineer,fastapi,2023-10-04,2023-10
46,ai researcher,flask,2023-10-04,2023-10
46,ai researcher,keras,2023-10-04,2023-10
46,ai researcher,tensorflow,2023-10-04,2023-10
46,ai researcher,cuda,2023-10-04,2023-10
46,ai researcher,c++,2023-10-04,2023-10
47,data scientist,keras,2023-10-04,2023-10
47,data scientist,fastapi,2023-10-04,2023-10
47,data scientist,aws,2023-10-04,2023-10
47,data scientist,sql,2023-10-04,2023-10
47,data scientist,excel,2023-10-04,2023-10
47,data scientist,c++,2023-10-04,2023-10
48,ai product manager,langchain,2023-10-05,2023-10
48,ai product manager,pytorch,2023-10-05,2023-10
48,ai product manager,scikit-learn,2023-10-05,2023-10
48,ai product manager,numpy,2023-10-05,2023-10
48,ai product manager,sql,2023-10-05,2023-10
48,ai product manager,flask,2023-10-05,2023-10
49,data analyst,mlflow,2023-10-05,2023-10
49,data analyst,keras,2023-10-05,2023-10
49,data analyst,c++,2023-10-05,2023-10
49,data analyst,reinforcement learning,2023-10-05,2023-10
50,data scientist,keras,2023-10-06,2023-10
50,data scientist,pytorch,2023-10-06,2023-10
50,data scientist,flask,2023-10-06,2023-10
51,quant researcher,hugging face,2023-10-06,2023-10
51,quant researcher,mlflow,2023-10-06,2023-10
51,quant researcher,reinforcement learning,2023-10-06,2023-10
52,computer vision engineer,hugging face,2023-10-06,2023-10
52,computer vision engineer,gcp,2023-10-06,2023-10
52,computer vision engineer,r,2023-10-06,2023-10
52,computer vision engineer,scikit-learn,2023-10-06,2023-10
53,ai researcher,pandas,2023-10-07,2023-10
53,ai researcher,azure,2023-10-07,2023-10
53,ai researcher,hugging face,2023-10-07,2023-10
53,ai researcher,python,2023-10-07,2023-10
54,nlp engineer,langchain,2023-10-07,2023-10
54,nlp engineer,sql,2023-10-07,2023-10
54,nlp engineer,numpy,2023-10-07,2023-10
54,nlp engineer,r,2023-10-07,2023-10
54,nlp engineer,power bi,2023-10-07,2023-10
55,nlp engineer,fastapi,2023-10-07,2023-10
55,nlp engineer,numpy,2023-10-07,2023-10
55,nlp engineer,langchain,2023-10-07,2023-10
55,nlp engineer,scikit-learn,2023-10-07,2023-10
55,nlp engineer,power bi,2023-10-07,2023-10
56,computer vision engineer,azure,2023-10-07,2023-10
56,computer vision engineer,pytorch,2023-10-07,2023-10
56,computer vision engineer,r,2023-10-07,2023-10
56,computer vision engineer,reinforcement learning,2023-10-07,2023-10
56,computer vision engineer,flask,2023-10-07,2023-10
56,computer vision engineer,keras,2023-10-07,2023-10
57,data scientist,azure,2023-10-10,2023-10
57,data scientist,excel,2023-10-10,2023-10
57,data scientist,keras,2023-10-10,2023-10
57,data scientist,sql,2023-10-10,2023-10
57,data scientist,reinforcement learning,2023-10-10,2023-10
57,data scientist,power bi,2023-10-10,2023-10
58,quant researcher,mlflow,2023-10-11,2023-10
58,quant researcher,pytorch,2023-10-11,2023-10
58,quant researcher,numpy,2023-10-11,2023-10
58,quant researcher,tensorflow,2023-10-11,2023-10
59,computer vision engineer,tensorflow,2023-10-11,2023-10
59,computer vision engineer,scikit-learn,2023-10-11,2023-10
59,computer vision engineer,numpy,2023-10-11,2023-10
59,computer vision engineer,c++,2023-10-11,2023-10
59,computer vision engineer,fastapi,2023-10-11,2023-10
60,ml engineer,azure,2023-10-11,2023-10
60,ml engineer,r,2023-10-11,2023-10
60,ml engineer,hugging face,2023-10-11,2023-10
60,ml engineer,sql,2023-10-11,2023-10
60,ml engineer,mlflow,2023-10-11,2023-10
60,ml engineer,flask,2023-10-11,2023-10
61,nlp engineer,langchain,2023-10-12,2023-10
61,nlp engineer,tensorflow,2023-10-12,2023-10
61,nlp engineer,azure,2023-10-12,2023-10
62,nlp engineer,azure,2023-10-12,2023-10
62,nlp engineer,gcp,2023-10-12,2023-10
62,nlp engineer,hugging face,2023-10-12,2023-10
63,ai product manager,c++,2023-10-13,2023-10
63,ai product manager,reinforcement learning,2023-10-13,2023-10
63,ai product manager,numpy,2023-10-13,2023-10
63,ai product manager,langchain,2023-10-13,2023-10
64,ai product manager,numpy,2023-10-13,2023-10
64,ai product manager,hugging face,2023-10-13,2023-10
64,ai product manager,cuda,2023-10-13,2023-10
64,ai product manager,flask,2023-10-13,2023-10
65,ai product manager,sql,2023-10-13,2023-10
65,ai product manager,mlflow,2023-10-13,2023-10
65,ai product manager,r,2023-10-13,2023-10
66,quant researcher,reinforcement learning,2023-10-14,2023-10
66,quant researcher,tensorflow,2023-10-14,2023-10
66,quant researcher,azure,2023-10-14,2023-10
66,quant researcher,cuda,2023-10-14,2023-10
66,quant researcher,gcp,2023-10-14,2023-10
66,quant researcher,hugging face,2023-10-14,2023-10
67,data scientist,azure,2023-10-15,2023-10
67,data scientist,pytorch,2023-10-15,2023-10
67,data scientist,excel,2023-10-15,2023-10
67,data scientist,r,2023-10-15,2023-10
67,data scientist,numpy,2023-10-15,2023-10
68,data analyst,numpy,2023-10-16,2023-10
68,data analyst,mlflow,2023-10-16,2023-10
68,data analyst,flask,2023-10-16,2023-10
68,data analyst,keras,2023-10-16,2023-10
68,data analyst,tensorflow,2023-10-16,2023-10
68,data analyst,fastapi,2023-10-16,2023-10
69,computer vision engineer,flask,2023-10-16,2023-10
69,computer vision engineer,gcp,2023-10-16,2023-10
69,computer vision engineer,fastapi,2023-10-16,2023-10
69,computer vision engineer,reinforcement learning,2023-10-16,2023-10
70,quant researcher,gcp,2023-10-16,2023-10
70,quant researcher,fastapi,2023-10-16,2023-10
70,quant researcher,keras,2023-10-16,2023-10
70,quant researcher,r,2023-10-16,2023-10
70,quant researcher,cuda,2023-10-16,2023-10
70,quant researcher,hugging face,2023-10-16,2023-10
71,data scientist,cuda,2023-10-16,2023-10
71,data scientist,aws,2023-10-16,2023-10
71,data scientist,numpy,2023-10-16,2023-10
71,data scientist,azure,2023-10-16,2023-10
71,data scientist,power bi,2023-10-16,2023-10
72,ai researcher,python,2023-10-17,2023-10
72,ai researcher,sql,2023-10-17,2023-10
72,ai researcher,c++,2023-10-17,2023-10
72,ai researcher,fastapi,2023-10-17,2023-10
73,computer vision engineer,numpy,2023-10-17,2023-10
73,computer vision engineer,r,2023-10-17,2023-10
73,computer vision engineer,pandas,2023-10-17,2023-10
74,ai product manager,r,2023-10-17,2023-10
74,ai product manager,hugging face,2023-10-17,2023-10
74,ai product manager,flask,2023-10-17,2023-10
74,ai product manager,numpy,2023-10-17,2023-10
74,ai product manager,keras,2023-10-17,2023-10
74,ai product manager,c++,2023-10-17,2023-10
75,ai product manager,reinforcement learning,2023-10-17,2023-10
75,ai product manager,numpy,2023-10-17,2023-10
75,ai product manager,scikit-learn,2023-10-17,2023-10
76,ai researcher,tensorflow,2023-10-17,2023-10
76,ai researcher,mlflow,2023-10-17,2023-10
76,ai researcher,sql,2023-10-17,2023-10
76,ai researcher,flask,2023-10-17,2023-10
76,ai researcher,cuda,2023-10-17,2023-10
76,ai researcher,c++,2023-10-17,2023-10
77,ml engineer,reinforcement learning,2023-10-18,2023-10
77,ml engineer,excel,2023-10-18,2023-10
77,ml engineer,langchain,2023-10-18,2023-10
77,ml engineer,tensorflow,2023-10-18,2023-10
77,ml engineer,fastapi,2023-10-18,2023-10
77,ml engineer,r,2023-10-18,2023-10
78,ai product manager,fastapi,2023-10-18,2023-10
78,ai product manager,keras,2023-10-18,2023-10
78,ai product manager,mlflow,2023-10-18,2023-10
79,data scientist,tensorflow,2023-10-19,2023-10
79,data scientist,sql,2023-10-19,2023-10
79,data scientist,aws,2023-10-19,2023-10
79,data scientist,pytorch,2023-10-19,2023-10
79,data scientist,langchain,2023-10-19,2023-10
80,quant researcher,pytorch,2023-10-19,2023-10
80,quant researcher,cuda,2023-10-19,2023-10
80,quant researcher,tensorflow,2023-10-19,2023-10
80,quant researcher,fastapi,2023-10-19,2023-10
80,quant researcher,keras,2023-10-19,2023-10
81,nlp engineer,numpy,2023-10-19,2023-10
81,nlp engineer,flask,2023-10-19,2023-10
81,nlp engineer,pandas,2023-10-19,2023-10
82,quant researcher,langchain,2023-10-19,2023-10
82,quant researcher,r,2023-10-19,2023-10
82,quant researcher,azure,2023-10-19,2023-10
82,quant researcher,cuda,2023-10-19,2023-10
83,nlp engineer,tensorflow,2023-10-19,2023-10
83,nlp engineer,power bi,2023-10-19,2023-10
83,nlp engineer,fastapi,2023-10-19,2023-10
83,nlp engineer,langchain,2023-10-19,2023-10
83,nlp engineer,scikit-learn,2023-10-19,2023-10
83,nlp engineer,python,2023-10-19,2023-10
84,ai researcher,python,2023-10-19,2023-10
84,ai researcher,fastapi,2023-10-19,2023-10
84,ai researcher,mlflow,2023-10-19,2023-10
84,ai researcher,langchain,2023-10-19,2023-10
85,data analyst,hugging face,2023-10-20,2023-10
85,data analyst,scikit-learn,2023-10-20,2023-10
85,data analyst,gcp,2023-10-20,2023-10
85,data analyst,tensorflow,2023-10-20,2023-10
85,data analyst,numpy,2023-10-20,2023-10
86,ml engineer,pandas,2023-10-20,2023-10
86,ml engineer,gcp,2023-10-20,2023-10
86,ml engineer,hugging face,2023-10-20,2023-10
87,ai product manager,sql,2023-10-20,2023-10
87,ai product manager,cuda,2023-10-20,2023-10
87,ai product manager,aws,2023-10-20,2023-10
88,quant researcher,flask,2023-10-21,2023-10
88,quant researcher,pandas,2023-10-21,2023-10
88,quant researcher,reinforcement learning,2023-10-21,2023-10
88,quant researcher,scikit-learn,2023-10-21,2023-10
88,quant researcher,numpy,2023-10-21,2023-10
89,ml engineer,excel,2023-10-21,2023-10
89,ml engineer,fastapi,2023-10-21,2023-10
89,ml engineer,hugging face,2023-10-21,2023-10
89,ml engineer,c++,2023-10-21,2023-10
89,ml engineer,gcp,2023-10-21,2023-10
89,ml engineer,r,2023-10-21,2023-10
90,computer vision engineer,tensorflow,2023-10-21,2023-10
90,computer vision engineer,cuda,2023-10-21,2023-10
90,computer vision engineer,pandas,2023-10-21,2023-10
90,computer vision engineer,hugging face,2023-10-21,2023-10
90,computer vision engineer,pytorch,2023-10-21,2023-10
90,computer vision engineer,mlflow,2023-10-21,2023-10
91,nlp engineer,langchain,2023-10-21,2023-10
91,nlp engineer,gcp,2023-10-21,2023-10
91,nlp engineer,r,2023-10-21,2023-10
91,nlp engineer,sql,2023-10-21,2023-10
92,computer vision engineer,python,2023-10-22,2023-10
92,computer vision engineer,gcp,2023-10-22,2023-10
92,computer vision engineer,numpy,2023-10-22,2023-10
93,ml engineer,numpy,2023-10-22,2023-10
93,ml engineer,keras,2023-10-22,2023-10
93,ml engineer,aws,2023-10-22,2023-10
93,ml engineer,python,2023-10-22,2023-10
93,ml engineer,langchain,2023-10-22,2023-10
93,ml engineer,mlflow,2023-10-22,2023-10
94,ai product manager,langchain,2023-10-22,2023-10
94,ai product manager,hugging face,2023-10-22,2023-10
94,ai product manager,numpy,2023-10-22,2023-10
94,ai product manager,excel,2023-10-22,2023-10
95,nlp engineer,mlflow,2023-10-22,2023-10
95,nlp engineer,cuda,2023-10-22,2023-10
95,nlp engineer,power bi,2023-10-22,2023-10
95,nlp engineer,fastapi,2023-10-22,2023-10
96,data scientist,pytorch,2023-10-22,2023-10
96,data scientist,python,2023-10-22,2023-10
96,data scientist,excel,2023-10-22,2023-10
97,nlp engineer,flask,2023-10-22,2023-10
97,nlp engineer,azure,2023-10-22,2023-10
97,nlp engineer,r,2023-10-22,2023-10
98,ml engineer,fastapi,2023-10-23,2023-10
98,ml engineer,reinforcement learning,2023-10-23,2023-10
98,ml engineer,mlflow,2023-10-23,2023-10
99,quant researcher,excel,2023-10-23,2023-10
99,quant researcher,c++,2023-10-23,2023-10
99,quant researcher,hugging face,2023-10-23,2023-10
99,quant researcher,r,2023-10-23,2023-10
100,computer vision engineer,reinforcement learning,2023-10-23,2023-10
100,computer vision engineer,langchain,2023-10-23,2023-10
100,computer vision engineer,cuda,2023-10-23,2023-10
100,computer vision engineer,hugging face,2023-10-23,2023-10
101,computer vision engineer,aws,2023-10-24,2023-10
101,computer vision engineer,python,2023-10-24,2023-10
101,computer vision engineer,flask,2023-10-24,2023-10
101,computer vision engineer,pandas,2023-10-24,2023-10
101,computer vision engineer,azure,2023-10-24,2023-10
101,computer vision engineer,langchain,2023-10-24,2023-10
102,ai researcher,numpy,2023-10-26,2023-10
102,ai researcher,pytorch,2023-10-26,2023-10
102,ai researcher,excel,2023-10-26,2023-10
103,nlp engineer,excel,2023-10-26,2023-10
103,nlp engineer,hugging face,2023-10-26,2023-10
103,nlp engineer,cuda,2023-10-26,2023-10
103,nlp engineer,flask,2023-10-26,2023-10
103,nlp engineer,tensorflow,2023-10-26,2023-10
103,nlp engineer,c++,2023-10-26,2023-10
104,data scientist,reinforcement learning,2023-10-26,2023-10
104,data scientist,flask,2023-10-26,2023-10
104,data scientist,c++,2023-10-26,2023-10
104,data scientist,azure,2023-10-26,2023-10
104,data scientist,hugging face,2023-10-26,2023-10
104,data scientist,python,2023-10-26,2023-10
105,ai researcher,power bi,2023-10-29,2023-10
105,ai researcher,pandas,2023-10-29,2023-10
105,ai researcher,python,2023-10-29,2023-10
105,ai researcher,keras,2023-10-29,2023-10
105,ai researcher,numpy,2023-10-29,2023-10
105,ai researcher,scikit-learn,2023-10-29,2023-10
106,quant researcher,pytorch,2023-10-29,2023-10
106,quant researcher,gcp,2023-10-29,2023-10
106,quant researcher,reinforcement learning,2023-10-29,2023-10
106,quant researcher,tensorflow,2023-10-29,2023-10
106,quant researcher,fastapi,2023-10-29,2023-10
107,ai product manager,fastapi,2023-10-29,2023-10
107,ai product manager,mlflow,2023-10-29,2023-10
107,ai product manager,langchain,2023-10-29,2023-10
107,ai product manager,hugging face,2023-10-29,2023-10
107,ai product manager,power bi,2023-10-29,2023-10
108,nlp engineer,reinforcement learning,2023-10-29,2023-10
108,nlp engineer,tensorflow,2023-10-29,2023-10
108,nlp engineer,cuda,2023-10-29,2023-10
109,data analyst,hugging face,2023-10-29,2023-10
109,data analyst,excel,2023-10-29,2023-10
109,data analyst,scikit-learn,2023-10-29,2023-10
109,data analyst,r,2023-10-29,2023-10
109,data analyst,mlflow,2023-10-29,2023-10
110,ml engineer,reinforcement learning,2023-10-30,2023-10
110,ml engineer,azure,2023-10-30,2023-10
110,ml engineer,flask,2023-10-30,2023-10
111,quant researcher,r,2023-10-30,2023-10
111,quant researcher,excel,2023-10-30,2023-10
111,quant researcher,sql,2023-10-30,2023-10
111,quant researcher,mlflow,2023-10-30,2023-10
111,quant researcher,pytorch,2023-10-30,2023-10
111,quant researcher,cuda,2023-10-30,2023-10
112,ai product manager,mlflow,2023-10-30,2023-10
112,ai product manager,tensorflow,2023-10-30,2023-10
112,ai product manager,numpy,2023-10-30,2023-10
112,ai product manager,pandas,2023-10-30,2023-10
113,data scientist,aws,2023-10-30,2023-10
113,data scientist,flask,2023-10-30,2023-10
113,data scientist,keras,2023-10-30,2023-10
113,data scientist,hugging face,2023-10-30,2023-10
113,data scientist,numpy,2023-10-30,2023-10
113,data scientist,scikit-learn,2023-10-30,2023-10
114,ai researcher,power bi,2023-10-31,2023-10
114,ai researcher,excel,2023-10-31,2023-10
114,ai researcher,azure,2023-10-31,2023-10
114,ai researcher,keras,2023-10-31,2023-10
114,ai researcher,c++,2023-10-31,2023-10
115,quant researcher,hugging face,2023-10-31,2023-10
115,quant researcher,power bi,2023-10-31,2023-10
115,quant researcher,sql,2023-10-31,2023-10
115,quant researcher,fastapi,2023-10-31,2023-10
115,quant researcher,c++,2023-10-31,2023-10
115,quant researcher,reinforcement learning,2023-10-31,2023-10
116,ml engineer,excel,2023-11-01,2023-11
116,ml engineer,flask,2023-11-01,2023-11
116,ml engineer,sql,2023-11-01,2023-11
116,ml engineer,r,2023-11-01,2023-11
117,data analyst,aws,2023-11-02,2023-11
117,data analyst,excel,2023-11-02,2023-11
117,data analyst,numpy,2023-11-02,2023-11
117,data analyst,flask,2023-11-02,2023-11
117,data analyst,tensorflow,2023-11-02,2023-11
117,data analyst,keras,2023-11-02,2023-11
118,ai researcher,r,2023-11-03,2023-11
118,ai researcher,aws,2023-11-03,2023-11
118,ai researcher,pandas,2023-11-03,2023-11
119,quant researcher,pandas,2023-11-04,2023-11
119,quant researcher,reinforcement learning,2023-11-04,2023-11
119,quant researcher,fastapi,2023-11-04,2023-11
120,ai product manager,pandas,2023-11-05,2023-11
120,ai product manager,sql,2023-11-05,2023-11
120,ai product manager,power bi,2023-11-05,2023-11
120,ai product manager,python,2023-11-05,2023-11
120,ai product manager,reinforcement learning,2023-11-05,2023-11
121,computer vision engineer,numpy,2023-11-05,2023-11
121,computer vision engineer,flask,2023-11-05,2023-11
121,computer vision engineer,mlflow,2023-11-05,2023-11
122,computer vision engineer,python,2023-11-06,2023-11
122,computer vision engineer,reinforcement learning,2023-11-06,2023-11
122,computer vision engineer,pytorch,2023-11-06,2023-11
122,computer vision engineer,tensorflow,2023-11-06,2023-11
122,computer vision engineer,pandas,2023-11-06,2023-11
122,computer vision engineer,power bi,2023-11-06,2023-11
123,nlp engineer,c++,2023-11-06,2023-11
123,nlp engineer,pandas,2023-11-06,2023-11
123,nlp engineer,keras,2023-11-06,2023-11
123,nlp engineer,excel,2023-11-06,2023-11
124,data scientist,cuda,2023-11-07,2023-11
124,data scientist,hugging face,2023-11-07,2023-11
124,data scientist,python,2023-11-07,2023-11
125,computer vision engineer,fastapi,2023-11-07,2023-11
125,computer vision engineer,keras,2023-11-07,2023-11
125,computer vision engineer,hugging face,2023-11-07,2023-11
125,computer vision engineer,azure,2023-11-07,2023-11
125,computer vision engineer,numpy,2023-11-07,2023-11
126,ml engineer,tensorflow,2023-11-07,2023-11
